Student/File,CircularLine.hpp,ThrowTheBall.hpp,AzimuthMonitoring.hpp,Inchworm.hpp,StreetParking.hpp,EggCartons.hpp,PartySeats.hpp,DownloadingFiles.hpp,InchWorm.hpp,inchworm.hpp,DownloadingFile.hpp,ChangingString.hpp,getAzimuth.hpp
s064,,"week1-19/s064/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s064/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s064/StreetParking.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s064/StreetParking.hpp:54:3: Rule11 Violated: Variable declared in loop.
","week1-19/s064/EggCartons.hpp:16:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s064/EggCartons.hpp:20:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s064/EggCartons.hpp:20:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s064/EggCartons.hpp:24:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s064/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s064/DownloadingFiles.hpp:27:31: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s064/DownloadingFiles.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s064/DownloadingFiles.hpp:18:3: Rule11 Violated: Variable declared in loop.
week1-19/s064/DownloadingFiles.hpp:27:3: Rule11 Violated: Variable declared in loop.
",,,,,
s063,,"week1-19/s063/ThrowTheBall.hpp:46:9: and week1-19/s063/ThrowTheBall.hpp:50:9 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s063/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s063/ThrowTheBall.hpp:20:5: Rule11 Violated: Variable declared in loop.
","week1-19/s063/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s063/AzimuthMonitoring.hpp:27:5: Rule11 Violated: Variable declared in loop.
","week1-19/s063/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s063/Inchworm.hpp:13:5: Rule11 Violated: Variable declared in loop.
","week1-19/s063/StreetParking.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s063/StreetParking.hpp:23:5: Rule11 Violated: Variable declared in loop.
","week1-19/s063/EggCartons.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s063/EggCartons.hpp:20:5: Rule11 Violated: Variable declared in loop.
week1-19/s063/EggCartons.hpp:25:5: Rule11 Violated: Variable declared in loop.
week1-19/s063/EggCartons.hpp:48:7: Rule11 Violated: Variable declared in loop.
week1-19/s063/EggCartons.hpp:64:5: Rule11 Violated: Variable declared in loop.
",,,,,,,
s097,,"week1-19/s097/ThrowTheBall.hpp:8:7: Rule9 Violated: Code that is never executed.
","week1-19/s097/AzimuthMonitoring.hpp:9:8: Rule9 Violated: Code that is never executed.
","week1-19/s097/Inchworm.hpp:8:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s097/EggCartons.hpp:8:8: Rule9 Violated: Code that is never executed.
",,"week1-19/s097/DownloadingFiles.hpp:9:8: Rule9 Violated: Code that is never executed.
",,,,,
s041,"week1-19/s041/CircularLine.hpp:3:7: Rule9 Violated: Code that is never executed.
week1-19/s041/CircularLine.hpp:13:2: Rule11 Violated: Variable declared in loop.
week1-19/s041/CircularLine.hpp:26:2: Rule11 Violated: Variable declared in loop.
week1-19/s041/CircularLine.hpp:27:3: Rule11 Violated: Variable declared in loop.
week1-19/s041/CircularLine.hpp:26:2: Rule13 Violated: Nested For Loop With Indices Comparison.
","week1-19/s041/ThrowTheBall.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s041/ThrowTheBall.hpp:10:2: Rule11 Violated: Variable declared in loop.
","week1-19/s041/AzimuthMonitoring.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s041/AzimuthMonitoring.hpp:11:2: Rule11 Violated: Variable declared in loop.
","week1-19/s041/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s041/StreetParking.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s041/EggCartons.hpp:11:5: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s041/EggCartons.hpp:14:5: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s041/EggCartons.hpp:23:7: and week1-19/s041/EggCartons.hpp:27:7 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s041/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
",,,,,,,
s079,,"week1-19/s079/ThrowTheBall.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s079/ThrowTheBall.hpp:30:3: Rule11 Violated: Variable declared in loop.
",,"week1-19/s079/Inchworm.hpp:9:7: Rule9 Violated: Code that is never executed.
","week1-19/s079/StreetParking.hpp:25:5: Rule9 Violated: Code that is never executed.
week1-19/s079/StreetParking.hpp:9:7: Rule9 Violated: Code that is never executed.
week1-19/s079/StreetParking.hpp:15:3: Rule11 Violated: Variable declared in loop.
week1-19/s079/StreetParking.hpp:35:3: Rule11 Violated: Variable declared in loop.
",,,"week1-19/s079/DownloadingFiles.hpp:11:7: Rule9 Violated: Code that is never executed.
week1-19/s079/DownloadingFiles.hpp:24:3: Rule11 Violated: Variable declared in loop.
week1-19/s079/DownloadingFiles.hpp:48:5: Rule11 Violated: Variable declared in loop.
week1-19/s079/DownloadingFiles.hpp:65:5: Rule11 Violated: Variable declared in loop.
",,,,,
s046,"week1-19/s046/CircularLine.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s046/CircularLine.hpp:15:3: Rule11 Violated: Variable declared in loop.
week1-19/s046/CircularLine.hpp:34:3: Rule11 Violated: Variable declared in loop.
week1-19/s046/CircularLine.hpp:39:4: Rule11 Violated: Variable declared in loop.
","week1-19/s046/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s046/ThrowTheBall.hpp:22:5: Rule11 Violated: Variable declared in loop.
week1-19/s046/ThrowTheBall.hpp:69:5: Rule11 Violated: Variable declared in loop.
",,"week1-19/s046/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s046/Inchworm.hpp:17:5: Rule11 Violated: Variable declared in loop.
","week1-19/s046/StreetParking.hpp:23:7: Rule9 Violated: Code that is never executed.
week1-19/s046/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s046/StreetParking.hpp:14:5: Rule11 Violated: Variable declared in loop.
week1-19/s046/StreetParking.hpp:30:5: Rule11 Violated: Variable declared in loop.
","week1-19/s046/EggCartons.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s046/EggCartons.hpp:27:3: Rule11 Violated: Variable declared in loop.
","week1-19/s046/PartySeats.hpp:30:4: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s046/PartySeats.hpp:70:8: Rule5 Violated: Checking an expression that has a known True/False value.
week1-19/s046/PartySeats.hpp:18:2: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s046/PartySeats.hpp:47:2: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s046/PartySeats.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s046/PartySeats.hpp:24:2: Rule11 Violated: Variable declared in loop.
week1-19/s046/PartySeats.hpp:28:3: Rule11 Violated: Variable declared in loop.
week1-19/s046/PartySeats.hpp:57:2: Rule11 Violated: Variable declared in loop.
",,,,,,
s084,,"week1-19/s084/ThrowTheBall.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s084/ThrowTheBall.hpp:31:5: Rule11 Violated: Variable declared in loop.
week1-19/s084/ThrowTheBall.hpp:39:6: Rule11 Violated: Variable declared in loop.
week1-19/s084/ThrowTheBall.hpp:98:5: Rule11 Violated: Variable declared in loop.
","week1-19/s084/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s084/AzimuthMonitoring.hpp:18:10: Rule11 Violated: Variable declared in loop.
","week1-19/s084/Inchworm.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s084/Inchworm.hpp:20:5: Rule11 Violated: Variable declared in loop.
",,"week1-19/s084/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s084/PartySeats.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s084/PartySeats.hpp:31:13: Rule11 Violated: Variable declared in loop.
week1-19/s084/PartySeats.hpp:75:19: Rule11 Violated: Variable declared in loop.
",,,,,,
s070,,"week1-19/s070/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s070/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s070/AzimuthMonitoring.hpp:20:4: Rule11 Violated: Variable declared in loop.
","week1-19/s070/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s070/StreetParking.hpp:16:4: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s070/StreetParking.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s070/StreetParking.hpp:14:3: Rule11 Violated: Variable declared in loop.
","week1-19/s070/EggCartons.hpp:6:7: Rule9 Violated: Code that is never executed.
",,,,,,,
s048,,"week1-19/s048/ThrowTheBall.hpp:18:19: Rule9 Violated: Code that is never executed.
week1-19/s048/ThrowTheBall.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s048/ThrowTheBall.hpp:23:5: Rule11 Violated: Variable declared in loop.
",,"week1-19/s048/Inchworm.hpp:28:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/Inchworm.hpp:29:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/Inchworm.hpp:29:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/Inchworm.hpp:30:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/Inchworm.hpp:13:15: Rule9 Violated: Code that is never executed.
week1-19/s048/Inchworm.hpp:7:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s048/EggCartons.hpp:10:17: Rule9 Violated: Code that is never executed.
week1-19/s048/EggCartons.hpp:1:7: Rule9 Violated: Code that is never executed.
","week1-19/s048/PartySeats.hpp:72:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:73:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:73:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:74:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:80:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:81:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:81:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:82:13: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s048/PartySeats.hpp:47:28: Rule9 Violated: Code that is never executed.
week1-19/s048/PartySeats.hpp:24:18: Rule9 Violated: Code that is never executed.
week1-19/s048/PartySeats.hpp:15:20: Rule9 Violated: Code that is never executed.
week1-19/s048/PartySeats.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s048/PartySeats.hpp:61:5: Rule11 Violated: Variable declared in loop.
week1-19/s048/PartySeats.hpp:94:5: Rule11 Violated: Variable declared in loop.
week1-19/s048/PartySeats.hpp:100:5: Rule11 Violated: Variable declared in loop.
week1-19/s048/PartySeats.hpp:31:9: Rule11 Violated: Variable declared in loop.
week1-19/s048/PartySeats.hpp:19:5: Rule11 Violated: Variable declared in loop.
","week1-19/s048/DownloadingFiles.hpp:12:26: Rule9 Violated: Code that is never executed.
week1-19/s048/DownloadingFiles.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s048/DownloadingFiles.hpp:17:5: Rule11 Violated: Variable declared in loop.
",,,,,
s077,"week1-19/s077/CircularLine.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s077/CircularLine.hpp:15:3: Rule11 Violated: Variable declared in loop.
week1-19/s077/CircularLine.hpp:16:4: Rule11 Violated: Variable declared in loop.
week1-19/s077/CircularLine.hpp:21:5: Rule11 Violated: Variable declared in loop.
week1-19/s077/CircularLine.hpp:26:5: Rule11 Violated: Variable declared in loop.
week1-19/s077/CircularLine.hpp:31:5: Rule11 Violated: Variable declared in loop.
","week1-19/s077/ThrowTheBall.hpp:1:7: Rule9 Violated: Code that is never executed.
week1-19/s077/ThrowTheBall.hpp:9:3: Rule11 Violated: Variable declared in loop.
","week1-19/s077/AzimuthMonitoring.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s077/AzimuthMonitoring.hpp:15:3: Rule11 Violated: Variable declared in loop.
week1-19/s077/AzimuthMonitoring.hpp:32:5: Rule11 Violated: Variable declared in loop.
","week1-19/s077/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s077/StreetParking.hpp:13:4: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s077/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s077/StreetParking.hpp:12:3: Rule11 Violated: Variable declared in loop.
",,,,,,,,
s023,"week1-19/s023/CircularLine.hpp:63:11: Rule5 Violated: Checking an expression that has a known True/False value.
week1-19/s023/CircularLine.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s023/CircularLine.hpp:38:3: Rule11 Violated: Variable declared in loop.
week1-19/s023/CircularLine.hpp:40:4: Rule11 Violated: Variable declared in loop.
","week1-19/s023/ThrowTheBall.hpp:7:7: Rule9 Violated: Code that is never executed.
","week1-19/s023/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s023/AzimuthMonitoring.hpp:31:3: Rule11 Violated: Variable declared in loop.
","week1-19/s023/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s023/StreetParking.hpp:25:4: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s023/StreetParking.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s023/StreetParking.hpp:14:3: Rule11 Violated: Variable declared in loop.
",,,,,,,,
s012,,,"week1-19/s012/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s012/AzimuthMonitoring.hpp:18:9: Rule11 Violated: Variable declared in loop.
","week1-19/s012/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s012/Inchworm.hpp:11:3: Rule11 Violated: Variable declared in loop.
","week1-19/s012/StreetParking.hpp:15:26: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s012/StreetParking.hpp:15:77: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s012/StreetParking.hpp:21:77: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s012/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s012/StreetParking.hpp:14:3: Rule11 Violated: Variable declared in loop.
","week1-19/s012/EggCartons.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s012/EggCartons.hpp:13:9: Rule11 Violated: Variable declared in loop.
week1-19/s012/EggCartons.hpp:15:4: Rule11 Violated: Variable declared in loop.
","week1-19/s012/PartySeats.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s012/PartySeats.hpp:26:9: Rule11 Violated: Variable declared in loop.
week1-19/s012/PartySeats.hpp:46:9: Rule11 Violated: Variable declared in loop.
week1-19/s012/PartySeats.hpp:54:9: Rule11 Violated: Variable declared in loop.
",,,,,,
s015,,"week1-19/s015/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s015/AzimuthMonitoring.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s015/AzimuthMonitoring.hpp:15:13: Rule11 Violated: Variable declared in loop.
","week1-19/s015/Inchworm.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s015/StreetParking.hpp:12:5: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s015/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s015/StreetParking.hpp:11:4: Rule11 Violated: Variable declared in loop.
","week1-19/s015/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
",,,,,,,
s049,,"week1-19/s049/ThrowTheBall.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s049/AzimuthMonitoring.hpp:17:25: Rule9 Violated: Code that is never executed.
week1-19/s049/AzimuthMonitoring.hpp:24:25: Rule9 Violated: Code that is never executed.
week1-19/s049/AzimuthMonitoring.hpp:31:25: Rule9 Violated: Code that is never executed.
week1-19/s049/AzimuthMonitoring.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s049/AzimuthMonitoring.hpp:12:13: Rule11 Violated: Variable declared in loop.
","week1-19/s049/Inchworm.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s049/Inchworm.hpp:8:3: Rule11 Violated: Variable declared in loop.
","week1-19/s049/StreetParking.hpp:12:5: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s049/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s049/StreetParking.hpp:10:4: Rule11 Violated: Variable declared in loop.
",,,"week1-19/s049/DownloadingFiles.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s049/DownloadingFiles.hpp:15:4: Rule11 Violated: Variable declared in loop.
",,,,,
s082,,"week1-19/s082/ThrowTheBall.hpp:32:19: Rule9 Violated: Code that is never executed.
week1-19/s082/ThrowTheBall.hpp:11:19: Rule9 Violated: Code that is never executed.
week1-19/s082/ThrowTheBall.hpp:3:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s082/Inchworm.hpp:11:15: Rule9 Violated: Code that is never executed.
week1-19/s082/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s082/Inchworm.hpp:14:2: Rule11 Violated: Variable declared in loop.
","week1-19/s082/StreetParking.hpp:14:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s082/StreetParking.hpp:17:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s082/StreetParking.hpp:25:4: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s082/StreetParking.hpp:28:4: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s082/StreetParking.hpp:34:4: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s082/StreetParking.hpp:37:4: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s082/StreetParking.hpp:10:20: Rule9 Violated: Code that is never executed.
week1-19/s082/StreetParking.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s082/StreetParking.hpp:12:2: Rule11 Violated: Variable declared in loop.
","week1-19/s082/EggCartons.hpp:12:17: Rule9 Violated: Code that is never executed.
week1-19/s082/EggCartons.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s082/EggCartons.hpp:25:3: Rule11 Violated: Variable declared in loop.
week1-19/s082/EggCartons.hpp:26:4: Rule11 Violated: Variable declared in loop.
",,"week1-19/s082/DownloadingFiles.hpp:125:24: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:112:23: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:100:23: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:88:24: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:77:24: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:49:26: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:18:26: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s082/DownloadingFiles.hpp:115:2: Rule11 Violated: Variable declared in loop.
week1-19/s082/DownloadingFiles.hpp:103:2: Rule11 Violated: Variable declared in loop.
week1-19/s082/DownloadingFiles.hpp:89:2: Rule11 Violated: Variable declared in loop.
week1-19/s082/DownloadingFiles.hpp:79:2: Rule11 Violated: Variable declared in loop.
week1-19/s082/DownloadingFiles.hpp:55:2: Rule11 Violated: Variable declared in loop.
week1-19/s082/DownloadingFiles.hpp:27:2: Rule11 Violated: Variable declared in loop.
",,,,,
s076,,"week1-19/s076/ThrowTheBall.hpp:38:5: and week1-19/s076/ThrowTheBall.hpp:49:5 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s076/ThrowTheBall.hpp:37:5: and week1-19/s076/ThrowTheBall.hpp:48:5 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s076/ThrowTheBall.hpp:33:5: and week1-19/s076/ThrowTheBall.hpp:44:5 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s076/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s076/ThrowTheBall.hpp:17:6: Rule11 Violated: Variable declared in loop.
","week1-19/s076/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s076/AzimuthMonitoring.hpp:25:6: Rule11 Violated: Variable declared in loop.
week1-19/s076/AzimuthMonitoring.hpp:33:6: Rule11 Violated: Variable declared in loop.
week1-19/s076/AzimuthMonitoring.hpp:56:6: Rule11 Violated: Variable declared in loop.
week1-19/s076/AzimuthMonitoring.hpp:64:6: Rule11 Violated: Variable declared in loop.
","week1-19/s076/Inchworm.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s076/Inchworm.hpp:15:4: Rule11 Violated: Variable declared in loop.
week1-19/s076/Inchworm.hpp:28:4: Rule11 Violated: Variable declared in loop.
","week1-19/s076/StreetParking.hpp:22:9: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s076/StreetParking.hpp:31:9: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s076/StreetParking.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s076/StreetParking.hpp:59:3: Rule11 Violated: Variable declared in loop.
","week1-19/s076/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
",,,,,,,
s071,,"week1-19/s071/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s071/ThrowTheBall.hpp:11:4: Rule11 Violated: Variable declared in loop.
",,"week1-19/s071/Inchworm.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s071/Inchworm.hpp:19:5: Rule11 Violated: Variable declared in loop.
",,"week1-19/s071/EggCartons.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s071/PartySeats.hpp:14:31: Rule8 Violated: The block associated with the IF (or ELSE) has no statements (or self-assignment).
week1-19/s071/PartySeats.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s071/PartySeats.hpp:24:7: Rule11 Violated: Variable declared in loop.
week1-19/s071/PartySeats.hpp:52:7: Rule11 Violated: Variable declared in loop.
","week1-19/s071/DownloadingFiles.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s071/DownloadingFiles.hpp:10:4: Rule11 Violated: Variable declared in loop.
week1-19/s071/DownloadingFiles.hpp:22:4: Rule11 Violated: Variable declared in loop.
week1-19/s071/DownloadingFiles.hpp:34:4: Rule11 Violated: Variable declared in loop.
",,,,,
s085,"week1-19/s085/CircularLine.hpp:11:7: Rule9 Violated: Code that is never executed.
week1-19/s085/CircularLine.hpp:17:9: Rule11 Violated: Variable declared in loop.
week1-19/s085/CircularLine.hpp:18:13: Rule11 Violated: Variable declared in loop.
week1-19/s085/CircularLine.hpp:21:17: Rule11 Violated: Variable declared in loop.
week1-19/s085/CircularLine.hpp:22:21: Rule11 Violated: Variable declared in loop.
week1-19/s085/CircularLine.hpp:23:25: Rule11 Violated: Variable declared in loop.
","week1-19/s085/ThrowTheBall.hpp:10:7: Rule9 Violated: Code that is never executed.
week1-19/s085/ThrowTheBall.hpp:20:9: Rule11 Violated: Variable declared in loop.
","week1-19/s085/AzimuthMonitoring.hpp:13:7: Rule9 Violated: Code that is never executed.
week1-19/s085/AzimuthMonitoring.hpp:36:8: Rule11 Violated: Variable declared in loop.
","week1-19/s085/Inchworm.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s085/Inchworm.hpp:18:9: Rule11 Violated: Variable declared in loop.
","week1-19/s085/StreetParking.hpp:11:7: Rule9 Violated: Code that is never executed.
week1-19/s085/StreetParking.hpp:17:9: Rule11 Violated: Variable declared in loop.
",,,,,,,,
s078,"week1-19/s078/CircularLine.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s078/CircularLine.hpp:15:5: Rule11 Violated: Variable declared in loop.
week1-19/s078/CircularLine.hpp:17:3: Rule11 Violated: Variable declared in loop.
week1-19/s078/CircularLine.hpp:27:7: Rule11 Violated: Variable declared in loop.
week1-19/s078/CircularLine.hpp:30:7: Rule11 Violated: Variable declared in loop.
week1-19/s078/CircularLine.hpp:15:5: Rule13 Violated: Nested For Loop With Indices Comparison.
","week1-19/s078/ThrowTheBall.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s078/ThrowTheBall.hpp:15:3: Rule11 Violated: Variable declared in loop.
","week1-19/s078/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s078/AzimuthMonitoring.hpp:15:3: Rule11 Violated: Variable declared in loop.
week1-19/s078/AzimuthMonitoring.hpp:26:5: Rule11 Violated: Variable declared in loop.
","week1-19/s078/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s078/StreetParking.hpp:20:17: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s078/StreetParking.hpp:15:17: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s078/StreetParking.hpp:17:17: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s078/StreetParking.hpp:17:17: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s078/StreetParking.hpp:19:17: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s078/StreetParking.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s078/StreetParking.hpp:12:9: Rule11 Violated: Variable declared in loop.
",,,,,,,,
